episode	epsilon	score	bonus	straight	full	low	high	yum
485000	1	53.43	0.25	0.0	0.0	0.0	0.0	0.0
490000	1	54.97	0.18	0.0	0.0	0.0	0.0	0.0
495000	1	54.29	0.24	0.0	0.0	0.0	0.0	0.0
500000	1	55.03	0.31	0.0	0.0	0.0	0.0	0.0
505000	1	53.18	0.17	0.0	0.0	0.0	0.0	0.0
510000	1	54.45	0.27	0.0	0.0	0.0	0.0	0.0
515000	1	56.43	0.3	0.0	0.0	0.0	0.0	0.0
520000	1	53.89	0.15	0.0	0.0	0.0	0.0	0.0
525000	1	55.32	0.25	0.0	0.0	0.0	0.0	0.0
530000	1	55.08	0.27	0.0	0.0	0.0	0.0	0.0
535000	1	54.08	0.16	0.0	0.0	0.0	0.0	0.0
540000	1	53.84	0.21	0.0	0.0	0.0	0.0	0.0
545000	1	54.44	0.17	0.0	0.0	0.0	0.0	0.0
550000	1	54.84	0.26	0.0	0.0	0.0	0.0	0.0
555000	1	56.08	0.3	0.0	0.0	0.0	0.0	0.0
560000	1	55.22	0.2	0.0	0.0	0.0	0.0	0.0
565000	1	56.12	0.26	0.0	0.0	0.0	0.0	0.0
570000	1	55.52	0.21	0.0	0.0	0.0	0.0	0.0
575000	1	54.59	0.23	0.0	0.0	0.0	0.0	0.0
580000	1	54.09	0.16	0.0	0.0	0.0	0.0	0.0
585000	1	54.78	0.22	0.0	0.0	0.0	0.0	0.0
590000	1	56.54	0.29	0.0	0.0	0.0	0.0	0.0
595000	1	56.06	0.29	0.0	0.0	0.0	0.0	0.0
600000	1	54.61	0.19	0.0	0.0	0.0	0.0	0.0
605000	1	53.91	0.22	0.0	0.0	0.0	0.0	0.0
610000	1	54.49	0.22	0.0	0.0	0.0	0.0	0.0
615000	1	54.43	0.2	0.0	0.0	0.0	0.0	0.0
620000	1	53.55	0.21	0.0	0.0	0.0	0.0	0.0
625000	1	54.95	0.17	0.0	0.0	0.0	0.0	0.0
630000	1	54.35	0.21	0.0	0.0	0.0	0.0	0.0
635000	1	53.87	0.23	0.0	0.0	0.0	0.0	0.0
640000	1	55.11	0.27	0.0	0.0	0.0	0.0	0.0
645000	1	55.04	0.24	0.0	0.0	0.0	0.0	0.0
