episode	diff
955000	3558
960000	3609
965000	3606
970000	3643
975000	3528
980000	3464
985000	3654
990000	3614
995000	3679
1000000	3428
1005000	3486
1010000	3401
1015000	3557
1020000	3536
1025000	3523
1030000	3469
1035000	3365
1040000	3519
1045000	3488
1050000	3313
1055000	3530
1060000	3510
1065000	3462
1070000	3548
1075000	3369
1080000	3403
1085000	3435
1090000	3294
1095000	3408
1100000	3383
1105000	3487
1110000	3514
1115000	3457
1120000	3256
1125000	3462
1130000	3349
1135000	3468
1140000	3276
1145000	3392
1150000	3329
1155000	3315
1160000	3335
1165000	3221
1170000	3335
1175000	3271
1180000	3414
1185000	3404
1190000	3197
1195000	3343
1200000	3332
1205000	3333
1210000	3372
1215000	3222
1220000	3243
1225000	3264
1230000	3279
1235000	3302
1240000	3266
1245000	3410
1250000	3252
1255000	3236
1260000	3341
1265000	3277
1270000	3233
1275000	3300
1280000	3162
1285000	3141
1290000	3274
1295000	3226
1300000	3322
1305000	3294
1310000	3228
1315000	3279
1320000	3301
1325000	3218
1330000	3120
1335000	3172
1340000	3136
1345000	3162
1350000	3203
1355000	3181
1360000	3118
1365000	3339
1370000	3193
1375000	3132
1380000	3163
1385000	3194
1390000	3093
1395000	3086
1400000	3233
1405000	3084
1410000	3091
1415000	3127
1420000	3164
1425000	3156
1430000	3154
1435000	3189
1440000	3083
1445000	3225
1450000	3178
1455000	3111
1460000	3207
1465000	3165
1470000	3159
1475000	3135
1480000	3142
1485000	3145
1490000	3149
1495000	3053
1500000	3079
1505000	3158
1510000	3089
1515000	3088
1520000	3180
1525000	3095
1530000	3129
1535000	3224
1540000	3050
1545000	3270
1550000	3115
1555000	3231
1560000	3169
1565000	3249
1570000	3218
1575000	3248
1580000	3313
1585000	3253
1590000	3268
1595000	3385
1600000	3363
1605000	3292
1610000	3337
1615000	3415
1620000	3276
1625000	3343
1630000	3401
1635000	3353
1640000	3370
1645000	3385
1650000	3489
1655000	3409
1660000	3439
1665000	3345
1670000	3391
1675000	3505
1680000	3500
1685000	3408
1690000	3543
1695000	3426
1700000	3499
1705000	3516
1710000	3400
1715000	3608
1720000	3622
1725000	3611
1730000	3537
1735000	3506
1740000	3433
1745000	3583
1750000	3560
1755000	3543
1760000	3544
1765000	3572
1770000	3573
1775000	3618
1780000	3625
1785000	3640
1790000	3717
1795000	3673
1800000	3720
1805000	3773
1810000	3697
1815000	3691
1820000	3678
1825000	3786
1830000	3781
1835000	3643
1840000	3733
1845000	3698
1850000	3634
1855000	3715
1860000	3729
1865000	3777
1870000	3678
1875000	3736
1880000	3687
1885000	3789
1890000	3763
1895000	3892
1900000	3635
1905000	3801
1910000	3817
1915000	3758
1920000	3860
1925000	3700
1930000	3778
1935000	3757
1940000	3821
1945000	3852
1950000	3912
1955000	3923
1960000	3951
1965000	3853
1970000	3859
1975000	3994
1980000	3979
1985000	3974
1990000	3954
1995000	4082
2000000	4018
2005000	4081
2010000	4019
2015000	4012
2020000	4010
2025000	3982
2030000	3875
2035000	4033
2040000	4044
2045000	3948
2050000	4091
2055000	4020
2060000	4088
2065000	4150
2070000	3948
2075000	4127
2080000	4009
2085000	4115
2090000	4149
2095000	4106
2100000	4123
2105000	4060
2110000	4058
2115000	3998
2120000	4148
2125000	4176
2130000	4169
2135000	4158
2140000	4091
2145000	4181
2150000	4147
2155000	4258
2160000	4204
2165000	4232
2170000	4171
2175000	4250
2180000	4177
2185000	4151
2190000	4210
2195000	4188
2200000	4364
2205000	4359
2210000	4107
2215000	4329
2220000	4393
2225000	4156
2230000	4325
2235000	4216
2240000	4300
2245000	4464
2250000	4287
2255000	4250
2260000	4240
2265000	4104
2270000	4212
2275000	4322
2280000	4255
2285000	4365
2290000	4280
2295000	4263
2300000	4348
2305000	4202
2310000	4125
2315000	4321
2320000	4431
2325000	4451
2330000	4338
2335000	4319
2340000	4362
2345000	4359
2350000	4362
2355000	4419
2360000	4328
2365000	4459
2370000	4398
2375000	4431
2380000	4391
2385000	4467
2390000	4548
2395000	4421
2400000	4398
2405000	4480
2410000	4453
2415000	4416
2420000	4396
2425000	4480
2430000	4477
2435000	4301
2440000	4332
2445000	4438
2450000	4510
2455000	4494
2460000	4474
2465000	4542
2470000	4571
2475000	4552
2480000	4603
2485000	4559
2490000	4699
2495000	4612
2500000	4487
2505000	4574
2510000	4639
2515000	4386
2520000	4530
2525000	4596
2530000	4650
2535000	4599
2540000	4627
2545000	4480
2550000	4495
2555000	4502
2560000	4597
2565000	4583
2570000	4651
2575000	4657
2580000	4621
2585000	4509
2590000	4630
2595000	4629
2600000	4475
2605000	4486
2610000	4633
2615000	4832
2620000	4678
2625000	4720
2630000	4546
2635000	4645
2640000	4646
2645000	4585
2650000	4681
2655000	4652
2660000	4763
2665000	4702
2670000	4787
2675000	4721
2680000	4746
2685000	4731
2690000	4741
2695000	4640
2700000	4646
2705000	4695
2710000	4612
2715000	4782
2720000	4716
2725000	4662
2730000	4732
2735000	4854
2740000	4747
2745000	4787
2750000	4743
2755000	4605
2760000	4674
2765000	4618
2770000	4752
2775000	4790
2780000	4775
2785000	4714
2790000	4917
2795000	4837
2800000	4860
2805000	4865
2810000	4820
2815000	4759
2820000	4819
2825000	4717
2830000	4704
2835000	4714
2840000	4740
2845000	4855
2850000	4831
2855000	4803
2860000	4822
2865000	4760
2870000	4846
2875000	4700
2880000	4823
2885000	4826
2890000	4912
2895000	4748
2900000	4716
2905000	4730
2910000	4885
2915000	4843
2920000	4790
2925000	4869
2930000	4774
2935000	4900
2940000	4827
2945000	4892
2950000	4831
2955000	4775
2960000	4827
2965000	4873
2970000	4832
2975000	4812
2980000	4881
2985000	4695
2990000	4910
2995000	4929
3000000	4962
3005000	4765
3010000	4877
3015000	4832
3020000	4839
3025000	5027
3030000	4822
3035000	4936
3040000	4840
3045000	4821
3050000	5037
3055000	4853
3060000	4799
3065000	4846
3070000	4841
3075000	4835
3080000	4898
3085000	4940
3090000	4941
3095000	4771
3100000	5028
3105000	4878
3110000	4797
3115000	5088
3120000	4990
3125000	4938
3130000	4823
3135000	5015
3140000	4916
3145000	4937
3150000	4889
3155000	5044
3160000	4938
3165000	4885
3170000	4865
3175000	4846
3180000	5047
3185000	5042
3190000	4899
3195000	4873
3200000	5002
3205000	5152
3210000	5071
3215000	5052
3220000	4911
3225000	4987
3230000	4886
3235000	5018
3240000	5093
3245000	4916
3250000	5047
3255000	5141
3260000	4906
3265000	5008
3270000	4911
3275000	4912
3280000	5055
3285000	5002
3290000	5063
3295000	4978
3300000	4991
3305000	5058
3310000	5037
3315000	4979
3320000	5084
3325000	4971
3330000	5015
3335000	4978
3340000	5005
3345000	4976
3350000	4956
3355000	4967
3360000	4979
3365000	5168
3370000	5125
3375000	4918
3380000	4986
3385000	4975
3390000	4978
3395000	4965
3400000	4986
3405000	5060
3410000	5046
3415000	4990
3420000	5071
3425000	5043
3430000	4915
3435000	4890
3440000	4989
3445000	4892
3450000	5086
3455000	5057
3460000	4953
3465000	5089
3470000	4941
3475000	5089
3480000	4980
3485000	5091
3490000	4999
3495000	5107
3500000	4982
3505000	5028
3510000	5035
3515000	4921
3520000	5078
3525000	4971
3530000	5026
3535000	4975
3540000	4839
3545000	4938
3550000	5154
3555000	5026
3560000	5024
3565000	5006
3570000	4906
3575000	5124
3580000	5058
3585000	4988
3590000	5181
3595000	5012
3600000	5104
3605000	5080
3610000	5094
3615000	5090
3620000	5121
3625000	5042
3630000	5018
3635000	5087
3640000	5055
3645000	5046
3650000	5004
3655000	5028
3660000	4941
3665000	5062
3670000	4977
3675000	5061
3680000	4925
3685000	5021
3690000	4937
3695000	5007
3700000	4861
3705000	5003
3710000	5233
3715000	5014
3720000	5060
3725000	5014
3730000	5286
3735000	5060
3740000	5034
3745000	5086
3750000	5178
3755000	4957
3760000	4950
3765000	5049
3770000	4982
3775000	5019
3780000	4970
3785000	5008
3790000	5122
3795000	5019
3800000	5010
3805000	4968
3810000	5008
3815000	4995
3820000	5056
3825000	4910
3830000	5107
3835000	5047
3840000	5099
3845000	5083
3850000	5041
3855000	5012
3860000	4955
3865000	5064
3870000	5156
3875000	4997
3880000	5153
3885000	4993
3890000	5005
3895000	4890
3900000	4924
3905000	4907
3910000	4910
3915000	5033
3920000	4864
3925000	4959
3930000	4923
3935000	5093
3940000	4911
3945000	5020
3950000	4963
3955000	4980
3960000	4968
3965000	5177
3970000	4892
3975000	4988
3980000	4982
3985000	4965
3990000	4918
3995000	4947
4000000	4824
4005000	5056
4010000	5070
4015000	4939
4020000	4940
4025000	4911
4030000	5097
4035000	4954
4040000	4822
4045000	4911
4050000	4867
4055000	4871
4060000	4847
4065000	4994
4070000	4931
4075000	4979
4080000	5036
4085000	4783
4090000	4911
4095000	4976
4100000	4867
4105000	4935
4110000	4918
4115000	4970
4120000	4979
4125000	5017
4130000	4927
4135000	4969
4140000	4886
4145000	4894
4150000	5025
4155000	4990
4160000	5004
4165000	4799
4170000	4917
4175000	4883
4180000	4884
4185000	4735
4190000	4819
4195000	4738
4200000	4876
4205000	4909
4210000	4769
4215000	4858
4220000	4816
4225000	4801
4230000	4834
4235000	4813
4240000	4820
4245000	4806
4250000	4886
4255000	4905
4260000	4835
4265000	5014
4270000	4878
4275000	4816
4280000	4641
4285000	4864
4290000	4803
4295000	4744
4300000	4949
4305000	4824
4310000	4860
4315000	4891
4320000	4878
4325000	4752
4330000	4766
4335000	4897
4340000	4855
4345000	4806
4350000	4767
4355000	4624
4360000	4637
4365000	4728
4370000	4777
4375000	4697
4380000	4693
4385000	4731
4390000	4691
4395000	4692
4400000	4708
4405000	4691
4410000	4651
4415000	4769
4420000	4742
4425000	4743
4430000	4802
4435000	4665
4440000	4737
4445000	4658
4450000	4752
4455000	4676
4460000	4686
4465000	4671
4470000	4778
4475000	4710
4480000	4568
4485000	4626
4490000	4609
4495000	4611
4500000	4668
4505000	4612
4510000	4585
4515000	4685
4520000	4610
4525000	4485
4530000	4548
4535000	4624
4540000	4508
4545000	4531
4550000	4635
4555000	4518
4560000	4501
4565000	4476
4570000	4378
4575000	4454
4580000	4403
4585000	4425
4590000	4488
4595000	4432
4600000	4353
4605000	4244
4610000	4433
4615000	4406
4620000	4430
4625000	4302
4630000	4322
4635000	4316
4640000	4482
4645000	4328
4650000	4262
4655000	4380
4660000	4128
4665000	4217
4670000	4214
4675000	4352
4680000	4294
4685000	4111
4690000	4210
4695000	4319
4700000	4301
4705000	4197
4710000	4314
4715000	4188
4720000	4188
4725000	4277
4730000	4255
4735000	4274
4740000	4225
4745000	4143
4750000	4221
4755000	4246
4760000	4107
4765000	4267
4770000	4093
4775000	4171
4780000	4159
4785000	4210
4790000	4120
4795000	4085
4800000	4081
4805000	3986
4810000	4167
4815000	4087
4820000	4155
4825000	4000
4830000	4068
4835000	4075
4840000	4063
4845000	4089
4850000	4027
4855000	3986
4860000	3980
4865000	4095
4870000	4076
4875000	3980
4880000	3874
4885000	3952
4890000	3961
4895000	3860
4900000	4068
4905000	3824
4910000	4020
4915000	3818
4920000	3931
4925000	3949
4930000	4009
4935000	3860
4940000	3908
4945000	3890
4950000	3839
4955000	3905
4960000	3949
4965000	3933
4970000	3862
4975000	3850
4980000	3853
4985000	3923
4990000	3729
4995000	3806
5000000	3920
5005000	3836
5010000	3814
5015000	3857
5020000	3844
5025000	3766
5030000	3722
5035000	3842
5040000	3731
5045000	3725
5050000	3825
5055000	3773
5060000	3815
5065000	3785
5070000	3865
5075000	3828
5080000	3834
5085000	3753
5090000	3813
5095000	3860
5100000	3716
5105000	3789
5110000	3675
5115000	3924
5120000	3658
5125000	3839
5130000	3779
5135000	3741
5140000	3676
5145000	3830
5150000	3741
5155000	3656
5160000	3779
5165000	3790
5170000	3751
5175000	3471
5180000	3692
5185000	3718
5190000	3684
5195000	3716
5200000	3625
5205000	3612
5210000	3665
5215000	3665
5220000	3690
5225000	3601
5230000	3708
5235000	3767
5240000	3582
5245000	3769
5250000	3675
5255000	3591
5260000	3680
5265000	3620
5270000	3561
5275000	3525
5280000	3709
5285000	3488
5290000	3710
5295000	3614
5300000	3708
5305000	3607
5310000	3572
5315000	3621
5320000	3564
5325000	3672
5330000	3672
5335000	3605
5340000	3501
5345000	3621
5350000	3537
5355000	3631
5360000	3520
5365000	3525
5370000	3498
5375000	3578
5380000	3429
5385000	3593
5390000	3522
5395000	3547
5400000	3529
5405000	3526
5410000	3554
5415000	3489
5420000	3575
5425000	3601
5430000	3543
5435000	3516
5440000	3471
5445000	3548
5450000	3430
5455000	3490
5460000	3531
5465000	3408
5470000	3539
5475000	3487
5480000	3395
5485000	3491
5490000	3461
5495000	3549
5500000	3365
5505000	3503
5510000	3497
5515000	3438
5520000	3515
5525000	3510
5530000	3539
5535000	3415
5540000	3442
5545000	3461
5550000	3501
5555000	3369
5560000	3501
5565000	3526
5570000	3344
5575000	3478
5580000	3442
5585000	3435
5590000	3416
5595000	3354
5600000	3441
5605000	3337
5610000	3585
5615000	3409
5620000	3297
5625000	3377
5630000	3397
5635000	3299
5640000	3400
5645000	3324
5650000	3310
5655000	3355
5660000	3349
5665000	3357
5670000	3451
5675000	3417
5680000	3376
5685000	3397
5690000	3303
5695000	3342
5700000	3270
5705000	3445
5710000	3367
5715000	3321
5720000	3511
5725000	3375
5730000	3396
5735000	3319
5740000	3342
5745000	3416
5750000	3408
5755000	3299
5760000	3309
5765000	3313
5770000	3337
5775000	3289
5780000	3396
5785000	3395
5790000	3380
5795000	3388
5800000	3292
5805000	3281
5810000	3282
5815000	3231
5820000	3308
5825000	3264
5830000	3263
5835000	3297
5840000	3398
5845000	3284
5850000	3181
5855000	3322
5860000	3324
5865000	3292
5870000	3286
5875000	3229
5880000	3259
5885000	3314
5890000	3418
5895000	3365
5900000	3370
5905000	3363
5910000	3294
5915000	3185
5920000	3193
5925000	3256
5930000	3251
5935000	3260
5940000	3235
5945000	3238
5950000	3252
5955000	3256
5960000	3237
5965000	3177
5970000	3305
5975000	3195
5980000	3269
5985000	3263
5990000	3341
5995000	3182
6000000	3229
